Number of terms,         fold,pairMapReduce,treeMapReduce
10.0,16.227156333333333,4.9963033333333335,1.901898
13.0,3.681657,6.0088946666666665,5.055757333333333
16.0,6.700647333333333,23.625075,10.258044333333334
19.0,46.33273033333333,4.935087333333334,45.142778
22.0,30.088219333333335,41.66731133333333,97.39590533333333
25.0,87.383397,111.005016,66.26225233333334
28.0,55.03854466666667,140.56318433333334,49.97768133333334
31.0,187.54160233333334,224.62895366666666,121.70909833333333
34.0,280.5140083333333,530.2177356666666,383.3634603333333
37.0,512.392051,545.591393,506.73819
40.0,465.32090933333336,250.03806366666666,149.64731266666666
43.0,619.5751083333333,241.43270733333333,366.03827966666665
46.0,534.560224,411.1750593333333,432.98573833333336
49.0,528.277921,1066.7523393333333,493.7139006666667
52.0,920.380219,439.03071966666664,978.2867923333333
55.0,1650.3581106666666,675.9363963333333,966.9795353333334
58.0,1929.3397913333333,1194.6628756666667,420.20553333333334
61.0,697.4517816666666,1704.5551153333333,539.6810623333333
64.0,2127.808102,760.637104,506.3485983333333
67.0,3182.210380666667,927.126495,1394.6679456666666
70.0,2277.846398333333,1589.769668,961.4466176666666
73.0,3419.8477173333335,1015.713159,624.275542
76.0,4035.361892,1721.4775106666666,1604.4063936666666
79.0,5413.814968333333,886.1731776666667,1214.8095983333333
82.0,2728.905968,544.2678826666667,1424.4126403333332
85.0,5302.231133666667,1614.397757,837.2428186666667
88.0,3551.012168333333,1040.9307353333334,1611.107459
91.0,2517.1224273333332,843.298939,1092.5024486666666
94.0,4145.592055,1300.136657,2301.2081006666667
97.0,2548.1150706666667,1618.1396986666666,989.825322
100.0,3275.2771276666667,1429.811541,891.7387983333333
103.0,3839.2168946666666,1068.2443053333334,1483.275259
106.0,4902.249771333333,1992.5771816666668,1744.219503
109.0,3840.770873666667,2441.6660676666665,1887.7974803333334
112.0,3222.1754206666665,2904.513637,1329.140639
115.0,3179.100539,1302.6878363333333,1987.8826913333332
118.0,4091.370645666667,1446.0953363333333,2134.5553603333333
121.0,3789.8251666666665,1767.5976303333334,1692.203851
124.0,4726.091236666667,1659.8459606666668,1638.40416
127.0,6786.521875666666,1358.774428,2018.9603906666666
130.0,4085.503027,2349.932343,2623.641772
133.0,2311.6224413333334,2472.6661336666666,1963.7969443333334
136.0,4169.896483666666,2103.545034,2402.8482856666665
139.0,4688.708708333334,1868.131611,2604.1207353333334
142.0,4671.340144666667,1848.0848166666667,3048.0989326666668
145.0,4868.587222666667,2520.37291,2347.738479
148.0,4642.025491666666,2185.761597333333,3478.321631
151.0,6215.407756,1760.2192953333333,1448.3136893333333
154.0,4961.356162666667,2399.693089,2203.397505666667
157.0,4698.395529666666,2195.178059,2617.0406456666665
160.0,4243.287345333333,2059.0476143333335,2775.5823626666665
163.0,4724.532112333333,1564.872231,2479.8165536666666
166.0,6040.055277333333,2185.3825516666666,2913.195776
169.0,4186.631835333334,3611.307141,1646.5989163333334
172.0,5368.6194,2843.7464686666667,3136.325735666667
175.0,2918.8926343333333,2698.080886,2449.5797396666667
178.0,4971.355666333333,2652.99914,1865.901276
181.0,4186.897103333334,3693.5680263333334,2829.5025706666665
184.0,5540.786457,3223.3830933333334,3461.739309
187.0,3319.157312,1824.6135133333332,3344.5180626666665
190.0,4192.742363333334,3977.9124993333335,2609.675531
193.0,3898.951912,2253.5802743333334,2953.096937
196.0,2558.0331036666666,4019.730768666667,2632.311857333333
199.0,5472.761413,2870.504093,3779.634257
