Number of terms,treeMapReduce,pairMapReduce,fold
5.0,4.4895085,3.036066,0.659943
10.0,0.1939415,0.2450695,0.1312065
15.0,0.2886365,0.2445665,0.119653
20.0,0.2031835,0.2442095,0.128949
25.0,0.148636,0.219154,0.1100135
30.0,0.1355415,0.1987315,0.1259885
40.0,0.1697905,0.234483,0.1968145
45.0,2.0681875,0.44017,1.906127
50.0,0.3356715,0.341765,1.591643
55.0,0.2955245,0.4534755,1.415929
60.0,0.222685,0.2420565,1.056498
70.0,0.314,0.3893915,0.9715505
80.0,0.3952345,0.461683,1.2718165
90.0,0.362022,0.321435,1.081223
95.0,0.31646,0.352988,1.250684
100.0,0.4595365,0.53623,1.421479
125.0,0.643761,0.625186,2.1384345
150.0,0.6599665,0.6658845,2.8489155
175.0,0.5701035,0.6354715,2.735991
200.0,0.817888,0.8589785,4.2733935
300.0,1.1985965,1.0782015,9.481843
400.0,1.775911,1.80182,18.7410915
500.0,2.242407,2.223994,31.700557
750.0,4.0486455,3.138797,79.643905
1000.0,6.055279,4.7748765,203.9241155
2000.0,16.7803075,15.1567235,822.2518465
3000.0,15.083407,15.7801635,2163.461012
4000.0,25.318185,26.621624,4906.249338
5000.0,32.7973085,35.156917,9629.474755
7500.0,74.042376,69.7404335,30900.2452805
10000.0,119.849275,111.018017,70075.605092
